",""nest_id"",""nestbox"",""plot"",""tree_species_composition"",""fragment_area"",""edge_density"",""breeding_season"",""species"",""id_male"",""id_female"",""laying_date"",""clutch_size"",""collected_Egg"",""hatchling_number"",""Fledgling_number"",""frass"""
"55,""2016_15_3"",""15_3"",15,""FsylQrub"",90.3595,965.1556742,2016,""Cyanistescaeruleus"",""14157596"",""14157338"",2016-04-09,11,0,9,9,NA"
"56,""2016_20_2"",""20_2"",20,""Qrob"",3.0269,875.5084322,2016,""Cyanistescaeruleus"",""14157597"",""14157598"",2016-04-10,11,0,9,9,0.54905369"
"57,""2016_28_3"",""28_3"",28,""FsylQrob"",10.7426,1861.982544,2016,""Cyanistescaeruleus"",""14157600"",""14157599"",2016-04-08,13,0,8,8,NA"
"58,""2016_39_4"",""39_4"",39,""FsylQrub"",46.6448,2118.242176,2016,""Cyanistescaeruleus"",""14157701"",""8879200"",2016-04-18,10,0,9,0,NA"
"59,""2016_48_1"",""48_1"",48,""Qrob"",18.7863,1741.376164,2016,""Cyanistescaeruleus"",""14157703"",""8879102"",2016-04-16,11,0,11,8,0.764464782"
"60,""2016_13_2"",""13_2"",13,""FsylQrob"",90.3595,734.2083225,2016,""Cyanistescaeruleus"",""14157729"",""14157730"",2016-05-01,9,0,6,NA,0.057307857"
"61,""2016_2_3"",""2_3"",2,""Fsyl"",43.7401,1811.174044,2016,""Cyanistescaeruleus"",""14157742"",""12126214"",2016-04-15,11,0,11,11,0.016260181"
"62,""2016_50_2"",""50_2"",50,""QrobQrub"",25.5002,2272.427065,2016,""Cyanistescaeruleus"",""14157765"",""14157766"",2016-04-29,8,0,7,7,0.075456905"
"63,""2015_36_4"",""36_4"",36,""Qrub"",58.3536,1206.265666,2015,""Cyanistescaeruleus"",""21266432"",""21266431"",2015-04-14,7,1,6,5,NA"
"64,""2015_16_1"",""16_1"",16,""Qrub"",90.3595,783.4203332,2015,""Parusmajor"",""51V06444"",NA,2015-04-21,6,1,5,4,NA"
"65,""2015_16_4"",""16_4"",16,""Qrub"",90.3595,783.4203332,2015,""Parusmajor"",""51V27591"",""58V92974"",2015-04-18,8,1,7,5,NA"
"66,""2015_52_3"",""52_3"",52,""Qrub"",53.3881,703.8043438,2015,""Parusmajor"",""53V56783"",""58V92959"",2015-04-20,9,0,NA,NA,NA"
"67,""2016_52_3"",""52_3"",52,""Qrub"",53.3881,703.8043438,2016,""Parusmajor"",""53V56783"",NA,2016-04-09,9,0,8,8,0.400147738"
"68,""2015_45_2"",""45_2"",45,""Qrub"",58.3536,2834.527845,2015,""Parusmajor"",""56V00530"",""58V92570"",2015-04-13,17,0,14,10,NA"
"69,""2016_10_2"",""10_2"",10,""Fsyl"",90.3595,1795.85811,2016,""Parusmajor"",""56V88848"",""59V39602"",2016-04-17,8,0,7,0,0.040671611"
"70,""2015_35_3"",""35_3"",35,""Qrob"",35.4919,2150.791531,2015,""Parusmajor"",""57V84712"",""57V84738"",2015-04-10,7,0,7,7,NA"
"71,""2016_35_2"",""35_2"",35,""Qrob"",35.4919,2150.791531,2016,""Parusmajor"",""57V84712"",""57V84738"",NA,7,0,7,7,0.385766905"
"72,""2015_37_4"",""37_4"",37,""Qrub"",58.3536,1834.147379,2015,""Parusmajor"",""57V84713"",""57V84771"",2015-04-12,8,1,5,3,NA"
"73,""2015_18_2"",""18_2"",18,""Qrob"",90.3595,1258.831306,2015,""Parusmajor"",""57V84714"",""58V34704"",2015-04-18,8,1,6,6,NA"
"74,""2015_22_1"",""22_1"",22,""Fsyl"",44.1402,2336.669661,2015,""Parusmajor"",""57V84726"",NA,2015-04-18,8,1,6,6,NA"
"75,""2015_47_1"",""47_1"",47,""Qrob"",18.7863,2059.032457,2015,""Parusmajor"",""57V84729"",""57V84747"",2015-04-14,7,1,5,5,NA"
"76,""2015_25_1"",""25_1"",25,""QrobQrub"",19.2985,1495.375256,2015,""Parusmajor"",""57V84731"",NA,2015-04-13,10,1,9,8,NA"
